"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Odds";"Odds";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Casa | Fora";"Global";"Global"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Diamond Stars";"";"";"Kallon";"";"";"77 | 49";"31 | 10";"";"53 | 37";"1.5 | 0.5";"42 | 35";"11.7 | 31";"10";"50 | 40";"10";"40 | 10";"30 | 20";"30 | 70";"50 | 17";"70 | 30";"70 | 80";"60 | 90";"1x0 | 3x0";"19.2";"0.9 | 0.3";"0.8 | 1.6";"1.8";"53 | 44";"15 | 8";"10 | 10";"10.5 | 9.3";"5 | 13.7";"8.1";"2 | 6.3";"4.5 | 3.3";"1.5 | 1.1";"1.7 | 0.9";"2.6";"2.4"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Ports Authority";"";"";"Wilberforce Strikers";"";"";"66 | 100";"31 | 20";"";"57 | 52";"1.3 | 1.5";"25 | 47";"6.7 | 11.3";"5";"20 | 20";"60";"40 | 30";"10 | 60";"50 | 10";"43 | 50";"50 | 90";"90 | 40";"60 | 70";"0x1 | 0x0";"13.4";"0.9 | 0.6";"1.1 | 0.4";"1.5";"50 | 53";"6 | 10";"10 | 10";"6 | 6.8";"4.5 | 9.5";"4.4";"1.2 | 3.2";"2 | 2.2";"1.2 | 1.9";"1.4 | 0.9";"2.7";"2.4"
"Sierra Leone";"SLE";"Premier League";"06-07-2026 13:15";"NS";"Wusum Stars";"";"";"Old Edwardians";"";"";"70 | 77";"27 | 44";"";"42 | 39";"1.1 | 1.5";"41 | 28";"9.6 | 5.2";"9";"22 | 67";"11";"30 | 30";"20 | 60";"50 | 10";"37 | 50";"50 | 90";"80 | 40";"70 | 70";"0x1 | 1x1";"16.8";"0.8 | 1.3";"1 | 0.8";"2";"47 | 50";"13 | 4";"10 | 10";"7.7 | 6.8";"9.6 | 9.3";"6.4";"3.9 | 2.2";"3.6 | 3.3";"1.4 | 1";"0.9 | 1.1";"2.2";"2.4"
"United States";"USA";"USL League Two";"06-07-2026 19:00";"NS";"West Virginia Chaos";"";"";"Louisville City II";"";"";"77 | 63";"61 | 68";"";"";"2.4 | 1.9";"";"";"2";"50 | 0";"50";"70 | 60";"30 | 10";"0 | 30";"80 | 63";"100 | 70";"70 | 90";"30 | 40";"1x1 | 0x1";"";"1.8 | 2";"0.8 | 1.2";"2.9";"";"";"10 | 10";"";"";"";"";"";"";"";"";"4"
"United States";"USA";"USL League Two";"06-07-2026 20:00";"NS";"Lorain County Leviathan";"";"";"Erie Sports Center";"";"";"46 | 2";"78 | 24";"";"48 | 40";"1.8 | 0";"47 | 40";"6.2 | 16.4";"";"";"";"56 | 0";"11 | 0";"33 | 100";"59 | 0";"67 | 0";"89 | 100";"44 | 100";"3x1 | 4x0";"28.8";"2.3 | 0.7";"1.7 | 3.7";"4.2";"53 | 49";"";"9 | 10";"14.2 | 11.5";"12.4 | 19.5";"14.6";"6.2 | 10.5";"6 | 6.5";"1.8 | 2";"2.4 | 1";"3.6";"4"
"United States";"USA";"USL League Two";"06-07-2026 20:00";"NS";"Lansing City";"";"";"Michigan Bucks";"";"";"2 | 74";"37 | 68";"";"34 | 57";"0.6 | 2";"29 | 51";"9.1 | 6.6";"10";"20 | 70";"10";"20 | 60";"0 | 20";"80 | 20";"20 | 67";"20 | 80";"100 | 80";"80 | 40";"1x2 | 1x2";"27";"1.1 | 2";"3.5 | 0.9";"3.8";"50 | 51";"";"10 | 10";"10 | 14.8";"18.8 | 10.4";"12.7";"9.6 | 4";"4.6 | 7.2";"2.4 | 1.6";"3.4 | 2.4";"4.9";"4"
"United States";"USA";"USL League Two";"06-07-2026 20:00";"NS";"Kings Hammer Columbus";"";"";"Dayton Dutch Lions";"";"";"60 | 46";"37 | 41";"";"";"1 | 1.3";"";"";"2";"0 | 100";"0";"30 | 40";"10 | 10";"60 | 50";"33 | 43";"40 | 50";"90 | 90";"70 | 60";"0x1 | 0x1";"";"1.1 | 1.2";"1.3 | 1.7";"2.6";"";"5 | 6";"10 | 10";"";"";"";"";"";"";"";"";"4"
"United States";"USA";"USL League Two";"06-07-2026 20:00";"NS";"Black Rock";"";"";"Seacoast United Phantoms";"";"";"63 | 35";"58 | 51";"";"51 | 49";"1.7 | 1";"48 | 40";"5.5 | 9.3";"10";"20 | 60";"20";"50 | 30";"20 | 10";"30 | 60";"57 | 33";"70 | 40";"80 | 90";"50 | 70";"1x2 | 2x1";"23.6";"1.7 | 1.5";"1.2 | 2";"3.2";"51 | 48";"";"10 | 10";"9.4 | 14";"10.7 | 13";"11.1";"4.7 | 6.6";"5 | 6";"2.6 | 3";"1.9 | 3.2";"5.3";"4"
"United States";"USA";"USL League Two";"06-07-2026 21:00";"POSTPONED";"Rochester";"";"";"Minneapolis City";"";"";"7 | 84";"51 | 100";"";"44 | 63";"1.2 | 3";"42 | 55";"7.5 | 4.6";"7";"14 | 71";"14";"40 | 100";"0 | 0";"60 | 0";"40 | 100";"40 | 100";"100 | 100";"60 | 0";"0x2 | 1x3";"25.1";"1.5 | 3.7";"2.8 | 0.6";"4.3";"50 | 57";"9 | 1";"10 | 10";"11.2 | 17.2";"14 | 7.8";"11.6";"6.8 | 2.7";"5.2 | 8.7";"1.8 | 3.3";"2.5 | 2.3";"5";"4"
"United States";"USA";"USL League Two";"06-07-2026 21:30";"NS";"Lonestar";"";"";"Hill Country Lobos";"";"";"56 | 10";"68 | 54";"";"";"1.9 | 0.8";"";"";"";"";"";"50 | 20";"40 | 20";"10 | 60";"63 | 27";"90 | 40";"60 | 80";"50 | 80";"1x1 | 0x1";"";"2 | 1.6";"1.4 | 2.7";"3.8";"";"";"10 | 10";"";"";"";"";"";"";"";"";"4"
