"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Casa | Fora";"Casa | Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa | Fora";"Casa | Fora"
"Ethiopia";"ETH";"Premier League";"01-07-2026 09:00";"NS";"Dire Dawa Kenema";"";"";"Arba Minch Kenema";"2.2 | 2.8";"2.9 | 1.6";"4.8";"4.7";"80";"75";"60";"35";"4.5";"4.6";"2.9 | 1.6";"2 | 2.7"
"Ethiopia";"ETH";"Premier League";"01-07-2026 09:00";"NS";"Mekelle Kenema";"";"";"Negele Arsi Ketema";"1.8 | 2.7";"2.6 | 2.8";"4.9";"4.7";"74";"69";"58";"43";"4.5";"4.6";"2.3 | 2.8";"1.7 | 2.6"
"Ethiopia";"ETH";"Premier League";"01-07-2026 12:00";"NS";"Fasil Ketema";"";"";"Ethiopian Medhin";"2.8 | 2.1";"2.3 | 1.9";"4.6";"4.7";"80";"70";"50";"25";"4.5";"4.4";"2.3 | 1.8";"2.7 | 2"
"Finland";"FIN";"Finland Cup";"01-07-2026 13:00";"NS";"HJK";"";"";"Ilves";"1.5 | 1.9";"1.5 | 2";"3.4";"3.3";"70";"35";"25";"15";"3.1";"3";"1.4 | 1.7";"1.3 | 1.7"
"Finland";"FIN";"Kolmonen - Eastern Group";"01-07-2026 12:30";"NS";"IPS Edustus";"";"";"LAUTP";"2 | 1.9";"1.3 | 1.8";"3.4";"2.8";"71";"58";"36";"6";"2.6";"3.2";"1.3 | 1.6";"1.7 | 1.8"
"Finland";"FIN";"Kolmonen - Western Group";"01-07-2026 12:45";"NS";"JyTy Turku";"";"";"SalPa II";"2.7 | 1.6";"1.9 | 1.8";"4";"3.4";"89";"62";"28";"22";"3.2";"3.8";"1.9 | 1.7";"2.6 | 1.6"
"Finland";"FIN";"Kolmonen - Western Group";"01-07-2026 13:00";"NS";"SIF";"";"";"KPV Akatemia";"1.9 | 1.7";"1.6 | 1.3";"3.2";"3.4";"64";"30";"14";"14";"3.2";"3.2";"1.6 | 1.3";"1.8 | 1.7"
"Finland";"FIN";"Kolmonen - Southern Group";"01-07-2026 13:00";"NS";"Gilla";"";"";"HooGee";"1.6 | 1.8";"1.4 | 1.3";"3";"3.6";"58";"42";"32";"10";"3.3";"2.8";"1.3 | 1.3";"1.6 | 1.5"
"Finland";"FIN";"Kolmonen - Southern Group";"01-07-2026 14:45";"NS";"MPS";"";"";"EIF Akademi";"0.8 | 1";"1.3 | 1.9";"2.5";"3.6";"47";"36";"10";"5";"3.3";"2.4";"1.3 | 1.7";"0.8 | 0.9"
"Georgia";"GEO";"Super Cup";"01-07-2026 13:00";"NS";"Dila";"";"";"Dinamo Tbilisi";"2.3 | 1.5";"1.7 | 1.7";"3.6";"";"70";"55";"35";"20";"";"3.4";"1.6 | 1.7";"2.1 | 2.1"
"Georgia";"GEO";"Super Cup";"01-07-2026 13:00";"NS";"FC Iberia 1999";"";"";"Torpedo Kutaisi";"2.8 | 1.7";"2.4 | 2.4";"4.6";"";"90";"65";"40";"35";"";"4.4";"2.4 | 2.3";"2.6 | 2.6"
"Iceland";"ISL";"2. Deild";"01-07-2026 16:15";"NS";"Haukar";"";"";"Kári";"2.9 | 1.9";"3.6 | 1.3";"4.8";"5.2";"89";"84";"56";"34";"4.9";"4.6";"3.6 | 1.3";"2.8 | 1.7"
"Iceland";"ISL";"4. Deild";"01-07-2026 16:15";"NS";"Elliði";"";"";"Álftanes";"2.6 | 1.6";"3.1 | 2.4";"4.8";"4.1";"88";"69";"44";"22";"4";"4.6";"3 | 2.3";"2.4 | 1.6"
"Iceland";"ISL";"U19 League";"01-07-2026 14:00";"NS";"Thór / THK / V / M U19";"";"";"FH / ÍH U19";"3.5 | 2";"2 | 2";"4.8";"4.3";"100";"100";"50";"25";"4.2";"4.5";"2 | 1.5";"3.5 | 2"
"Iceland";"ISL";"U19 League B";"01-07-2026 16:30";"NS";"KR / KV U19";"";"";"ÍR / Léttir U19";"";"";"";"6";"";"";"";"";"5.7";"";"";""
"Kyrgyzstan";"KGZ";"Top Liga";"01-07-2026 11:30";"NS";"OshMU-Aldier";"";"";"FTs Bishkek";"3.5 | 1";"2.5 | 2.9";"5";"4";"86";"54";"54";"40";"3.9";"4.2";"2 | 2.4";"3 | 1"
"Kyrgyzstan";"KGZ";"Top Liga";"01-07-2026 21:00";"NS";"Dordoi Bishkek";"";"";"Kara-Balta";"3.6 | 1.6";"2 | 1.7";"4.4";"4";"78";"78";"64";"17";"3.9";"4.2";"2 | 1.7";"3.4 | 1.4"
"Kyrgyzstan";"KGZ";"Top Liga";"01-07-2026 21:00";"NS";"Toktogul";"";"";"Bishkek City";"3 | 2.5";"1.5 | 2";"4.5";"4";"100";"88";"38";"12";"3.9";"4.5";"1.5 | 2";"3 | 2.5"
"Lithuania";"LTU";"1. Lyga";"01-07-2026 12:00";"NS";"FA Šiauliai II";"";"";"Tauras";"1.5 | 2.1";"0.8 | 1.7";"3";"3.6";"60";"35";"15";"5";"3.5";"3";"0.8 | 1.7";"1.5 | 2.1"
"Lithuania";"LTU";"1. Lyga";"01-07-2026 13:00";"NS";"Atmosfera";"";"";"Be1 NFA";"2.3 | 1.7";"1.8 | 1.4";"3.6";"3.6";"60";"50";"20";"10";"3.5";"3.4";"1.7 | 1.4";"2.2 | 1.6"
"Latvia";"LVA";"Virsliga";"01-07-2026 12:00";"NS";"Tukums";"";"";"Super Nova";"2 | 2";"2.1 | 2.2";"4.2";"4.4";"85";"70";"50";"25";"4.3";"4";"2.1 | 2.2";"1.7 | 2"
